telehaii0740,2013-10-08,05:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านเหมือง,6,5.923700,101.126000,95,ยะลา,เบตง,อัยเยอร์เวง,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0279,2013-10-08,01:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านเสาเดี่ยว,6,14.823200,102.104000,30,นครราชสีมา,โชคชัย,ท่าอ่าง,"4 ",ภาคตะวันออกเฉียงเหนือ,มม.,,,,05,0504
telehaii0435,2013-10-08,12:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านหินช้าง,6,10.069700,98.646000,85,ระนอง,เมืองระนอง,ปากน้ำ,"5 ",ภาคใต้,มม.,,,,25,2501
telehaii0513,2013-10-08,06:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บางเบ้า,5.8,11.974000,102.312000,23,ตราด,กิ่งอำเภอเกาะช้าง,เกาะช้างใต้,"2 ",ภาคกลาง,มม.,,,,99,9999
telehaii0655,2013-10-08,06:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านลากฆ้อน,5.8,14.063200,100.332000,12,นนทบุรี,ไทรน้อย,ราษฎร์นิยม,"2 ",ภาคกลาง,มม.,,,,10,1003
telehaii0433,2013-10-08,10:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านยะนุ้ย,5.8,7.768980,98.316000,83,ภูเก็ต,เมืองภูเก็ต,ราไวย์,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0456,2013-10-08,10:10:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",แหลมกรวด,5.8,7.972400,99.025200,81,กระบี่,เหนือคลอง,คลองขนาน,"5 ",ภาคใต้,มม.,,,,25,2507
telehaii0391,2013-10-08,01:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",โป่งช้าง,5.6,14.624800,99.284100,71,กาญจนบุรี,ศรีสวัสดิ์,เขาโจด,"2 ",ภาคกลาง,มม.,,,,14,1407
telehaii0496,2013-10-08,13:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",อู่ทอง,5.6,12.850600,101.676000,21,ระยอง,แกลง,บ้านนา,"2 ",ภาคกลาง,มม.,,,,18,1805
telehaii0655,2013-10-08,06:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านลากฆ้อน,5.6,14.063200,100.332000,12,นนทบุรี,ไทรน้อย,ราษฎร์นิยม,"2 ",ภาคกลาง,มม.,,,,10,1003
telehaii0740,2013-10-08,06:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านเหมือง,5.4,5.923700,101.126000,95,ยะลา,เบตง,อัยเยอร์เวง,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0432,2013-10-08,12:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",โรงพยาบาลระนอง,5.4,9.957300,98.648800,85,ระนอง,เมืองระนอง,บางริ้น,"5 ",ภาคใต้,มม.,,,,25,2503
telehaii0097,2013-10-08,11:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ห้วยยอด,5.4,7.795660,99.628600,92,ตรัง,ห้วยยอด,ห้วยยอด,"5 ",ภาคใต้,มม.,,,,25,2509
telehaii0099,2013-10-08,08:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านฉันทนา,5.2,8.249980,99.209400,81,กระบี่,เขาพนม,สินปุน,"5 ",ภาคใต้,มม.,,,,22,2204
telehaii0744,2013-10-08,14:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านโคกพะยอม,5.2,6.808910,99.812400,91,สตูล,ละงู,ละงู,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0740,2013-10-08,05:20:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านเหมือง,5.2,5.923700,101.126000,95,ยะลา,เบตง,อัยเยอร์เวง,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0413,2013-10-08,12:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",เขื่อนเพชร,5.2,12.971400,99.901100,76,เพชรบุรี,ท่ายาง,ท่ายาง,"2 ",ภาคกลาง,มม.,,,,19,1904
telehaii0368,2013-10-08,01:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านวังยาง,5.2,14.868000,101.208000,19,สระบุรี,มวกเหล็ก,ซับสนุ่น,"2 ",ภาคกลาง,มม.,,,,12,1208
telehaii0744,2013-10-08,13:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านโคกพะยอม,5.2,6.808910,99.812400,91,สตูล,ละงู,ละงู,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0101,2013-10-08,13:30:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",สะพานวา,5,7.072400,99.787200,91,สตูล,ทุ่งหว้า,ป่าแก่บ่อหิน,"5 ",ภาคใต้,มม.,,,,25,2513
telehaii0513,2013-10-08,06:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บางเบ้า,5,11.974000,102.312000,23,ตราด,กิ่งอำเภอเกาะช้าง,เกาะช้างใต้,"2 ",ภาคกลาง,มม.,,,,99,9999
telehaii0435,2013-10-08,11:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านหินช้าง,4.8,10.069700,98.646000,85,ระนอง,เมืองระนอง,ปากน้ำ,"5 ",ภาคใต้,มม.,,,,25,2501
telehaii0496,2013-10-08,14:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",อู่ทอง,4.8,12.850600,101.676000,21,ระยอง,แกลง,บ้านนา,"2 ",ภาคกลาง,มม.,,,,18,1805
telehaii0467,2013-10-08,06:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนซอยสิบเอ็ด,4.8,10.702300,99.082800,86,ชุมพร,ท่าแซะ,ท่าข้าม,"5 ",ภาคใต้,มม.,,,,21,2101
telehaii0061,2013-10-08,02:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",วัดสิงห์,4.8,15.259300,100.043000,18,ชัยนาท,วัดสิงห์,หนองบัว,"2 ",ภาคกลาง,มม.,,,,13,1303
telehaii0510,2013-10-08,08:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ถ้ำทองหลาง,4.6,8.524880,98.585000,82,พังงา,ทับปุด,ถ้ำทองหลาง,"5 ",ภาคใต้,มม.,,,,25,2505
telehaii0467,2013-10-08,06:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนซอยสิบเอ็ด,4.6,10.702300,99.082800,86,ชุมพร,ท่าแซะ,ท่าข้าม,"5 ",ภาคใต้,มม.,,,,21,2101
telehaii0461,2013-10-08,14:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านบางวัน,4.6,8.998690,98.420700,82,พังงา,คุระบุรี,บางวัน,"5 ",ภาคใต้,มม.,,,,25,2503
telehaii0077,2013-10-08,12:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ดอนชะเอม,4.6,13.970700,99.814900,71,กาญจนบุรี,ท่ามะกา,สนามแย้,"2 ",ภาคกลาง,มม.,,,,13,1303
telehaii0061,2013-10-08,04:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",วัดสิงห์,4.6,15.259300,100.043000,18,ชัยนาท,วัดสิงห์,หนองบัว,"2 ",ภาคกลาง,มม.,,,,13,1303
telehaii0552,2013-10-08,06:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ร.ร.นวมิทรฯเบญจราชาลัย,4.4,13.896600,100.696000,10,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,"2 ",ภาคกลาง,มม.,,,,10,1003
telehaii0744,2013-10-08,08:20:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านโคกพะยอม,4.2,6.808910,99.812400,91,สตูล,ละงู,ละงู,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0552,2013-10-08,06:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ร.ร.นวมิทรฯเบญจราชาลัย,4.2,13.896600,100.696000,10,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก,"2 ",ภาคกลาง,มม.,,,,10,1003
telehaii0744,2013-10-08,09:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านโคกพะยอม,4.2,6.808910,99.812400,91,สตูล,ละงู,ละงู,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0050,2013-10-08,00:30:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",หันคา,4.2,14.978200,100.014000,18,ชัยนาท,หันคา,หันคา,"2 ",ภาคกลาง,มม.,,,,13,1303
telehaii0485,2013-10-08,04:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",พลูตาหลวง,4.2,12.703300,100.970000,20,ชลบุรี,สัตหีบ,พลูตาหลวง,"2 ",ภาคกลาง,มม.,,,,18,1801
telehaii0740,2013-10-08,04:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านเหมือง,4,5.923700,101.126000,95,ยะลา,เบตง,อัยเยอร์เวง,"5 ",ภาคใต้,มม.,,,,99,9999
telehaii0564,2013-10-08,03:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ลานสัก,4,15.467200,99.534300,61,อุทัยธานี,ลานสัก,ลานสัก,"2 ",ภาคกลาง,มม.,,,,11,1104
telehaii0024,2013-10-08,13:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ชุมชนบ้านเขาพระ,4,7.027880,100.162000,90,สงขลา,รัตภูมิ,เขาพระ,"5 ",ภาคใต้,มม.,,,,23,2301
telehaii0527,2013-10-08,12:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านหนองขอน,3.8,12.520000,102.165000,22,จันทบุรี,แหลมสิงห์,พลิ้ว,"2 ",ภาคกลาง,มม.,,,,18,1803
telehaii0020,2013-10-08,05:00:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",สะพานโยธกา,3.8,13.974800,101.143000,25,ปราจีนบุรี,บ้านสร้าง,บางเตย,"2 ",ภาคกลาง,มม.,,,,16,1602
telehaii0059,2013-10-08,00:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",ห้วยกรด,3.8,15.116400,100.230000,18,ชัยนาท,สรรพยา,สรรพยา,"2 ",ภาคกลาง,มม.,,,,10,1003
telehaii0655,2013-10-08,07:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านลากฆ้อน,3.8,14.063200,100.332000,12,นนทบุรี,ไทรน้อย,ราษฎร์นิยม,"2 ",ภาคกลาง,มม.,,,,10,1003
telehaii0519,2013-10-08,13:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",หนองบอน,3.8,12.691400,102.455000,23,ตราด,บ่อไร่,หนองบอน,"2 ",ภาคกลาง,มม.,,,,18,1802
telehaii0060,2013-10-08,01:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",เขื่อนเจ้าพระยา,3.6,15.166400,100.168000,18,ชัยนาท,เมืองชัยนาท,บ้านกล้วย,"2 ",ภาคกลาง,มม.,,,,10,1003
telehaii0432,2013-10-08,10:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",โรงพยาบาลระนอง,3.6,9.957300,98.648800,85,ระนอง,เมืองระนอง,บางริ้น,"5 ",ภาคใต้,มม.,,,,25,2503
telehaii0424,2013-10-08,01:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านใหม่สำเร็จกิจ,3.6,14.412300,102.859000,31,บุรีรัมย์,ละหานทราย,สำโรงใหม่,"4 ",ภาคตะวันออกเฉียงเหนือ,มม.,,,,05,0508
telehaii0459,2013-10-08,02:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านกมลศรี,3.6,7.689890,99.313200,92,ตรัง,สิเกา,กะลาเส,"5 ",ภาคใต้,มม.,,,,25,2508
telehaii0413,2013-10-08,13:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",เขื่อนเพชร,3.4,12.971400,99.901100,76,เพชรบุรี,ท่ายาง,ท่ายาง,"2 ",ภาคกลาง,มม.,,,,19,1904
telehaii0099,2013-10-08,10:40:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",บ้านฉันทนา,3.4,8.249980,99.209400,81,กระบี่,เขาพนม,สินปุน,"5 ",ภาคใต้,มม.,,,,22,2204
telehaii0390,2013-10-08,00:50:00,19012,"สถาบันสารสนเทศทรัพยากรน้ำและการเกษตร (องค์การมหาชน)",หนองอำเภอจีน,3.4,14.578200,99.692600,71,กาญจนบุรี,เลาขวัญ,ทุ่งกระบ่ำ,"2 ",ภาคกลาง,มม.,,,,13,1303
